=========================================
Process Baseline Snapshot
=========================================

Captured: 2025-11-04 10:32:39 EST
Hostname: davion-gem
System: Linux davion-gem 6.8.0-71-generic #71-Ubuntu SMP PREEMPT_DYNAMIC Tue Jul 22 16:52:38 UTC 2025 x86_64 x86_64 x86_64 GNU/Linux
Uptime:  10:32:39 up 10 min,  4 users,  load average: 0.39, 0.31, 0.22

=========================================
Process List (ps aux)
=========================================

USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.2  0.0  22764 12972 ?        Ss   10:22   0:01 /sbin/init splash
root          23  0.0  0.0      0     0 ?        S    10:22   0:00 [migration/2]
root          24  0.0  0.0      0     0 ?        S    10:22   0:00 [ksoftirqd/2]
root          26  0.0  0.0      0     0 ?        I<   10:22   0:00 [kworker/2:0H-events_highpri]
root          27  0.0  0.0      0     0 ?        S    10:22   0:00 [cpuhp/4]
root          28  0.0  0.0      0     0 ?        S    10:22   0:00 [idle_inject/4]
root          29  0.0  0.0      0     0 ?        S    10:22   0:00 [migration/4]
root          30  0.0  0.0      0     0 ?        S    10:22   0:00 [ksoftirqd/4]
root          32  0.0  0.0      0     0 ?        I<   10:22   0:00 [kworker/4:0H-events_highpri]
root          33  0.0  0.0      0     0 ?        S    10:22   0:00 [cpuhp/6]
root          34  0.0  0.0      0     0 ?        S    10:22   0:00 [idle_inject/6]
root          35  0.0  0.0      0     0 ?        S    10:22   0:00 [migration/6]
root          36  0.0  0.0      0     0 ?        S    10:22   0:00 [ksoftirqd/6]
root          37  0.0  0.0      0     0 ?        I    10:22   0:00 [kworker/6:0-mm_percpu_wq]
root          38  0.0  0.0      0     0 ?        I<   10:22   0:00 [kworker/6:0H-events_highpri]
root          39  0.0  0.0      0     0 ?        S    10:22   0:00 [cpuhp/8]
root          40  0.0  0.0      0     0 ?        S    10:22   0:00 [idle_inject/8]
root          41  0.0  0.0      0     0 ?        S    10:22   0:00 [migration/8]
root          42  0.0  0.0      0     0 ?        S    10:22   0:00 [ksoftirqd/8]
root          44  0.0  0.0      0     0 ?        I<   10:22   0:00 [kworker/8:0H-events_highpri]
root          45  0.0  0.0      0     0 ?        S    10:22   0:00 [cpuhp/10]
root          46  0.0  0.0      0     0 ?        S    10:22   0:00 [idle_inject/10]
root          47  0.0  0.0      0     0 ?        S    10:22   0:00 [migration/10]
root          48  0.0  0.0      0     0 ?        S    10:22   0:00 [ksoftirqd/10]
root          50  0.0  0.0      0     0 ?        I<   10:22   0:00 [kworker/10:0H-events_highpri]
root          51  0.0  0.0      0     0 ?        S    10:22   0:00 [cpuhp/12]
root          52  0.0  0.0      0     0 ?        S    10:22   0:00 [idle_inject/12]
root          53  0.0  0.0      0     0 ?        S    10:22   0:00 [migration/12]
root          54  0.0  0.0      0     0 ?        S    10:22   0:00 [ksoftirqd/12]
root          55  0.0  0.0      0     0 ?        I    10:22   0:00 [kworker/12:0-events]
root          56  0.0  0.0      0     0 ?        I<   10:22   0:00 [kworker/12:0H-events_highpri]
root          57  0.0  0.0      0     0 ?        S    10:22   0:00 [cpuhp/14]
root          58  0.0  0.0      0     0 ?        S    10:22   0:00 [idle_inject/14]
root          59  0.0  0.0      0     0 ?        S    10:22   0:00 [migration/14]
root          60  0.0  0.0      0     0 ?        S    10:22   0:00 [ksoftirqd/14]
root          61  0.0  0.0      0     0 ?        I    10:22   0:00 [kworker/14:0-events]
root          62  0.0  0.0      0     0 ?        I<   10:22   0:00 [kworker/14:0H-events_highpri]
root          63  0.0  0.0      0     0 ?        S    10:22   0:00 [cpuhp/1]
root          64  0.0  0.0      0     0 ?        S    10:22   0:00 [idle_inject/1]
root          65  0.0  0.0      0     0 ?        S    10:22   0:00 [migration/1]
root          66  0.0  0.0      0     0 ?        S    10:22   0:00 [ksoftirqd/1]
root          68  0.0  0.0      0     0 ?        I<   10:22   0:00 [kworker/1:0H-events_highpri]
root          69  0.0  0.0      0     0 ?        S    10:22   0:00 [cpuhp/3]
root          70  0.0  0.0      0     0 ?        S    10:22   0:00 [idle_inject/3]
root          71  0.0  0.0      0     0 ?        S    10:22   0:00 [migration/3]
root          72  0.0  0.0      0     0 ?        S    10:22   0:00 [ksoftirqd/3]
root          74  0.0  0.0      0     0 ?        I<   10:22   0:00 [kworker/3:0H-events_highpri]
root          75  0.0  0.0      0     0 ?        S    10:22   0:00 [cpuhp/5]
root          76  0.0  0.0      0     0 ?        S    10:22   0:00 [idle_inject/5]
root          77  0.0  0.0      0     0 ?        S    10:22   0:00 [migration/5]
root          78  0.0  0.0      0     0 ?        S    10:22   0:00 [ksoftirqd/5]
root          80  0.0  0.0      0     0 ?        I<   10:22   0:00 [kworker/5:0H-events_highpri]
root          81  0.0  0.0      0     0 ?        S    10:22   0:00 [cpuhp/7]
root          82  0.0  0.0      0     0 ?        S    10:22   0:00 [idle_inject/7]
root          83  0.0  0.0      0     0 ?        S    10:22   0:00 [migration/7]
root          84  0.0  0.0      0     0 ?        S    10:22   0:00 [ksoftirqd/7]
root          85  0.0  0.0      0     0 ?        I    10:22   0:00 [kworker/7:0-events]
root          86  0.0  0.0      0     0 ?        I<   10:22   0:00 [kworker/7:0H-events_highpri]
root          87  0.0  0.0      0     0 ?        S    10:22   0:00 [cpuhp/9]
root          88  0.0  0.0      0     0 ?        S    10:22   0:00 [idle_inject/9]
root          89  0.0  0.0      0     0 ?        S    10:22   0:00 [migration/9]
root          90  0.0  0.0      0     0 ?        S    10:22   0:00 [ksoftirqd/9]
root          92  0.0  0.0      0     0 ?        I<   10:22   0:00 [kworker/9:0H-events_highpri]
root          93  0.0  0.0      0     0 ?        S    10:22   0:00 [cpuhp/11]
root          94  0.0  0.0      0     0 ?        S    10:22   0:00 [idle_inject/11]
root          95  0.0  0.0      0     0 ?        S    10:22   0:00 [migration/11]
root          96  0.0  0.0      0     0 ?        S    10:22   0:00 [ksoftirqd/11]
root          98  0.0  0.0      0     0 ?        I<   10:22   0:00 [kworker/11:0H-events_highpri]
root          99  0.0  0.0      0     0 ?        S    10:22   0:00 [cpuhp/13]
root         100  0.0  0.0      0     0 ?        S    10:22   0:00 [idle_inject/13]
root         101  0.0  0.0      0     0 ?        S    10:22   0:00 [migration/13]
root         102  0.0  0.0      0     0 ?        S    10:22   0:00 [ksoftirqd/13]
root         104  0.0  0.0      0     0 ?        I<   10:22   0:00 [kworker/13:0H-events_highpri]
root         105  0.0  0.0      0     0 ?        S    10:22   0:00 [cpuhp/15]
root         106  0.0  0.0      0     0 ?        S    10:22   0:00 [idle_inject/15]
root         107  0.0  0.0      0     0 ?        S    10:22   0:00 [migration/15]
root         108  0.0  0.0      0     0 ?        S    10:22   0:00 [ksoftirqd/15]
root         110  0.0  0.0      0     0 ?        I<   10:22   0:00 [kworker/15:0H-events_highpri]
root         111  0.0  0.0      0     0 ?        S    10:22   0:00 [kdevtmpfs]
root         112  0.0  0.0      0     0 ?        I<   10:22   0:00 [kworker/R-inet_]
root         113  0.0  0.0      0     0 ?        I    10:22   0:00 [kworker/u32:1-events_power_efficient]
root         114  0.0  0.0      0     0 ?        S    10:22   0:00 [kauditd]
root         115  0.0  0.0      0     0 ?        S    10:22   0:00 [khungtaskd]
root         116  0.0  0.0      0     0 ?        S    10:22   0:00 [oom_reaper]
root         117  0.0  0.0      0     0 ?        I    10:22   0:00 [kworker/u32:2-events_power_efficient]
root         118  0.0  0.0      0     0 ?        I<   10:22   0:00 [kworker/R-write]
root         119  0.0  0.0      0     0 ?        S    10:22   0:00 [kcompactd0]
root         120  0.0  0.0      0     0 ?        SN   10:22   0:00 [ksmd]
root         121  0.0  0.0      0     0 ?        I    10:22   0:00 [kworker/12:1-events_freezable]
root         122  0.0  0.0      0     0 ?        SN   10:22   0:00 [khugepaged]
root         123  0.0  0.0      0     0 ?        I<   10:22   0:00 [kworker/R-kinte]
root         124  0.0  0.0      0     0 ?        I<   10:22   0:00 [kworker/R-kbloc]
root         125  0.0  0.0      0     0 ?        I<   10:22   0:00 [kworker/R-blkcg]
root         126  0.0  0.0      0     0 ?        S    10:22   0:00 [irq/9-acpi]
root         128  0.0  0.0      0     0 ?        I<   10:22   0:00 [kworker/R-tpm_d]
root         129  0.0  0.0      0     0 ?        I<   10:22   0:00 [kworker/R-ata_s]
root         130  0.0  0.0      0     0 ?        I<   10:22   0:00 [kworker/R-md]
root         131  0.0  0.0      0     0 ?        I<   10:22   0:00 [kworker/R-md_bi]
root         132  0.0  0.0      0     0 ?        I<   10:22   0:00 [kworker/R-edac-]
root         133  0.0  0.0      0     0 ?        I<   10:22   0:00 [kworker/R-devfr]
root         134  0.0  0.0      0     0 ?        S    10:22   0:00 [watchdogd]
root         135  0.0  0.0      0     0 ?        I<   10:22   0:00 [kworker/12:1H-kblockd]
root         136  0.0  0.0      0     0 ?        I    10:22   0:00 [kworker/8:1-events]
root         137  0.0  0.0      0     0 ?        S    10:22   0:00 [irq/24-AMD-Vi]
root         138  0.0  0.0      0     0 ?        S    10:22   0:00 [kswapd0]
root         139  0.0  0.0      0     0 ?        S    10:22   0:00 [ecryptfs-kthread]
root         140  0.0  0.0      0     0 ?        I    10:22   0:00 [kworker/9:1-events]
root         141  0.0  0.0      0     0 ?        I<   10:22   0:00 [kworker/R-kthro]
root         142  0.0  0.0      0     0 ?        S    10:22   0:00 [irq/40-aerdrv]
root         143  0.0  0.0      0     0 ?        S    10:22   0:00 [irq/40-pciehp]
root         144  0.0  0.0      0     0 ?        S    10:22   0:00 [irq/41-aerdrv]
root         145  0.0  0.0      0     0 ?        S    10:22   0:00 [irq/41-pciehp]
root         146  0.0  0.0      0     0 ?        S    10:22   0:00 [irq/43-aerdrv]
root         147  0.0  0.0      0     0 ?        I    10:22   0:00 [kworker/2:1-mm_percpu_wq]
root         148  0.0  0.0      0     0 ?        I    10:22   0:00 [kworker/3:1-events]
root         149  0.0  0.0      0     0 ?        I    10:22   0:00 [kworker/4:1-events]
root         150  0.1  0.0      0     0 ?        I    10:22   0:00 [kworker/5:1-events]
root         151  0.0  0.0      0     0 ?        I    10:22   0:00 [kworker/6:1-cgroup_destroy]
root         153  0.0  0.0      0     0 ?        I    10:22   0:00 [kworker/10:1-events]
root         154  0.0  0.0      0     0 ?        I    10:22   0:00 [kworker/11:1-mm_percpu_wq]
root         155  0.0  0.0      0     0 ?        I    10:22   0:00 [kworker/13:1-mm_percpu_wq]
root         156  0.0  0.0      0     0 ?        I    10:22   0:00 [kworker/14:1-events]
root         157  0.0  0.0      0     0 ?        I    10:22   0:00 [kworker/15:1-mm_percpu_wq]
root         158  0.0  0.0      0     0 ?        I<   10:22   0:00 [kworker/R-acpi_]
root         159  0.0  0.0      0     0 ?        I<   10:22   0:00 [kworker/R-mld]
root         160  0.0  0.0      0     0 ?        I<   10:22   0:00 [kworker/R-ipv6_]
root         162  0.0  0.0      0     0 ?        I<   10:22   0:00 [kworker/1:1H-kblockd]
root         168  0.0  0.0      0     0 ?        I<   10:22   0:00 [kworker/R-kstrp]
root         170  0.0  0.0      0     0 ?        I<   10:22   0:00 [kworker/u33:0-rb_allocator]
root         175  0.0  0.0      0     0 ?        I<   10:22   0:00 [kworker/R-crypt]
root         176  0.0  0.0      0     0 ?        I    10:22   0:00 [kworker/13:2-events]
root         178  0.0  0.0      0     0 ?        I    10:22   0:00 [kworker/0:2]
root         187  0.0  0.0      0     0 ?        I<   10:22   0:00 [kworker/R-charg]
root         188  0.0  0.0      0     0 ?        S    10:22   0:00 [irq/25-ACPI:Event]
root         189  0.0  0.0      0     0 ?        S    10:22   0:00 [irq/26-ACPI:Event]
root         190  0.0  0.0      0     0 ?        S    10:22   0:00 [irq/27-ACPI:Event]
root         191  0.0  0.0      0     0 ?        S    10:22   0:00 [irq/28-ACPI:Event]
root         192  0.0  0.0      0     0 ?        S    10:22   0:00 [irq/29-ACPI:Event]
root         193  0.0  0.0      0     0 ?        S    10:22   0:00 [irq/30-ACPI:Event]
root         194  0.0  0.0      0     0 ?        S    10:22   0:00 [irq/31-ACPI:Event]
root         195  0.0  0.0      0     0 ?        S    10:22   0:00 [irq/32-ACPI:Event]
root         196  0.0  0.0      0     0 ?        S    10:22   0:00 [irq/33-ACPI:Event]
root         197  0.0  0.0      0     0 ?        S    10:22   0:00 [irq/34-ACPI:Event]
root         198  0.0  0.0      0     0 ?        S    10:22   0:00 [irq/35-ACPI:Event]
root         224  0.0  0.0      0     0 ?        I<   10:22   0:00 [kworker/10:1H-kblockd]
root         227  0.0  0.0      0     0 ?        I<   10:22   0:00 [kworker/5:1H-kblockd]
root         228  0.0  0.0      0     0 ?        I<   10:22   0:00 [kworker/7:1H-kblockd]
root         240  0.0  0.0      0     0 ?        I<   10:22   0:00 [kworker/15:1H-kblockd]
root         242  0.0  0.0      0     0 ?        I<   10:22   0:00 [kworker/6:1H-kblockd]
root         250  0.0  0.0      0     0 ?        I<   10:22   0:00 [kworker/2:1H-kblockd]
root         251  0.0  0.0      0     0 ?        I<   10:22   0:00 [kworker/8:1H-kblockd]
root         252  0.0  0.0      0     0 ?        I<   10:22   0:00 [kworker/3:1H-kblockd]
root         253  0.0  0.0      0     0 ?        I<   10:22   0:00 [kworker/9:1H-kblockd]
root         255  0.0  0.0      0     0 ?        I<   10:22   0:00 [kworker/13:1H-kblockd]
root         256  0.0  0.0      0     0 ?        I    10:22   0:00 [kworker/11:2-events]
root         258  0.0  0.0      0     0 ?        I<   10:22   0:00 [kworker/14:1H-kblockd]
root         261  0.0  0.0      0     0 ?        I<   10:22   0:00 [kworker/0:1H-kblockd]
root         264  0.0  0.0      0     0 ?        I<   10:22   0:00 [kworker/4:1H-kblockd]
root         268  0.0  0.0      0     0 ?        I<   10:22   0:00 [kworker/R-nvme-]
root         269  0.0  0.0      0     0 ?        I<   10:22   0:00 [kworker/R-nvme-]
root         270  0.0  0.0      0     0 ?        I<   10:22   0:00 [kworker/R-nvme-]
root         271  0.0  0.0      0     0 ?        I<   10:22   0:00 [kworker/R-nvme-]
root         285  0.0  0.0      0     0 ?        I    10:22   0:00 [kworker/u32:3-ext4-rsv-conversion]
root         286  0.0  0.0      0     0 ?        I    10:22   0:00 [kworker/u32:4-writeback]
root         288  0.0  0.0      0     0 ?        I    10:22   0:00 [kworker/8:2-events]
root         297  0.0  0.0      0     0 ?        I<   10:22   0:00 [kworker/11:1H-kblockd]
root         298  0.0  0.0      0     0 ?        I    10:22   0:00 [kworker/1:2-events]
root         299  0.0  0.0      0     0 ?        I    10:22   0:00 [kworker/1:3-events]
root         300  0.0  0.0      0     0 ?        I    10:22   0:00 [kworker/5:2-events]
root         328  0.0  0.0      0     0 ?        I<   10:22   0:00 [kworker/R-raid5]
root         376  0.0  0.0      0     0 ?        S    10:22   0:00 [jbd2/nvme0n1p2-8]
root         377  0.0  0.0      0     0 ?        I<   10:22   0:00 [kworker/R-ext4-]
root         399  0.0  0.0      0     0 ?        I    10:22   0:00 [kworker/2:2-events]
root         427  0.0  0.0      0     0 ?        I    10:22   0:00 [kworker/4:2-events]
root         434  0.0  0.0  81016 17048 ?        S<s  10:22   0:00 /usr/lib/systemd/systemd-journald
root         452  0.0  0.0      0     0 ?        I    10:22   0:00 [kworker/3:2-events]
root         467  0.0  0.0  29824  7632 ?        Ss   10:22   0:00 /usr/lib/systemd/systemd-udevd
root         469  0.0  0.0      0     0 ?        I    10:22   0:00 [kworker/10:2-mm_percpu_wq]
root         470  0.0  0.0      0     0 ?        S    10:22   0:00 [psimon]
root         540  0.0  0.0      0     0 ?        I<   10:22   0:00 [kworker/R-cfg80]
root         560  0.0  0.0      0     0 ?        S    10:22   0:00 [irq/111-iwlwifi:default_queue]
root         561  0.0  0.0      0     0 ?        S    10:22   0:00 [irq/112-iwlwifi:queue_1]
root         562  0.0  0.0      0     0 ?        S    10:22   0:00 [irq/113-iwlwifi:queue_2]
root         563  0.0  0.0      0     0 ?        S    10:22   0:00 [irq/114-iwlwifi:queue_3]
root         564  0.0  0.0      0     0 ?        S    10:22   0:00 [irq/115-iwlwifi:queue_4]
root         565  0.0  0.0      0     0 ?        S    10:22   0:00 [irq/116-iwlwifi:queue_5]
root         566  0.0  0.0      0     0 ?        S    10:22   0:00 [irq/117-iwlwifi:queue_6]
root         567  0.0  0.0      0     0 ?        S    10:22   0:00 [irq/118-iwlwifi:queue_7]
root         568  0.0  0.0      0     0 ?        S    10:22   0:00 [irq/119-iwlwifi:queue_8]
root         569  0.0  0.0      0     0 ?        S    10:22   0:00 [irq/120-iwlwifi:queue_9]
root         570  0.0  0.0      0     0 ?        S    10:22   0:00 [irq/121-iwlwifi:queue_10]
root         571  0.0  0.0      0     0 ?        S    10:22   0:00 [irq/122-iwlwifi:queue_11]
root         572  0.0  0.0      0     0 ?        S    10:22   0:00 [irq/123-iwlwifi:queue_12]
root         573  0.0  0.0      0     0 ?        S    10:22   0:00 [irq/124-iwlwifi:queue_13]
root         574  0.0  0.0      0     0 ?        S    10:22   0:00 [irq/125-iwlwifi:queue_14]
root         575  0.0  0.0      0     0 ?        S    10:22   0:00 [irq/126-iwlwifi:exception]
root         733  0.0  0.0      0     0 ?        I    10:22   0:00 [kworker/9:2-events]
systemd+     783  0.0  0.0  21720 12160 ?        Ss   10:22   0:00 /usr/lib/systemd/systemd-resolved
systemd+     784  0.0  0.0  91216  7424 ?        Ssl  10:22   0:00 /usr/lib/systemd/systemd-timesyncd
root         792  0.0  0.0      0     0 ?        I<   10:22   0:00 [kworker/R-amdgp]
root         798  0.0  0.0      0     0 ?        I<   10:22   0:00 [kworker/R-ttm]
root         807  0.0  0.0 313484  7480 ?        Ssl  10:22   0:00 /usr/libexec/accounts-daemon
avahi        809  0.0  0.0   8704  3456 ?        Ss   10:22   0:00 avahi-daemon: running [davion-gem.local]
root         811  0.0  0.0  13416  5760 ?        Ss   10:22   0:00 /usr/libexec/bluetooth/bluetoothd
root         812  0.0  0.0   9424  2560 ?        Ss   10:22   0:00 /usr/sbin/cron -f -P
message+     813  0.0  0.0  10928  5376 ?        Ss   10:22   0:00 @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
root         816  0.0  0.0      0     0 ?        I<   10:22   0:00 [kworker/R-amdgp]
root         817  0.0  0.0      0     0 ?        I<   10:22   0:00 [kworker/R-amdgp]
root         818  0.0  0.0      0     0 ?        I<   10:22   0:00 [kworker/R-amdgp]
root         819  0.0  0.0      0     0 ?        I<   10:22   0:00 [kworker/R-amdgp]
root         820  0.0  0.0      0     0 ?        I<   10:22   0:00 [kworker/R-amdgp]
root         821  0.0  0.0      0     0 ?        I<   10:22   0:00 [kworker/R-amdgp]
root         822  0.0  0.0      0     0 ?        I<   10:22   0:00 [kworker/R-amdgp]
root         823  0.0  0.0      0     0 ?        I<   10:22   0:00 [kworker/R-amdgp]
root         824  0.0  0.0      0     0 ?        I<   10:22   0:00 [kworker/R-dm_vb]
root         825  0.0  0.0      0     0 ?        I<   10:22   0:00 [kworker/R-amdgp]
root         828  0.0  0.0  83064  3712 ?        Ssl  10:22   0:00 /usr/sbin/irqbalance
polkitd      834  0.0  0.0 384844  9752 ?        Ssl  10:22   0:00 /usr/lib/polkit-1/polkitd --no-debug
root         838  0.0  0.0 313488  6912 ?        Ssl  10:22   0:00 /usr/libexec/power-profiles-daemon
root         846  0.0  0.0 309864  6272 ?        Ssl  10:22   0:00 /usr/libexec/switcheroo-control
root         850  0.0  0.0  18620  8960 ?        Ss   10:22   0:00 /usr/lib/systemd/systemd-logind
root         854  0.0  0.0 468936 12524 ?        Ssl  10:22   0:00 /usr/libexec/udisks2/udisksd
avahi        861  0.0  0.0   8424  1292 ?        S    10:22   0:00 avahi-daemon: chroot helper
root         882  0.0  0.0 337084 18540 ?        Ssl  10:22   0:00 /usr/sbin/NetworkManager --no-daemon
root         885  0.0  0.0  18144 10624 ?        Ss   10:22   0:00 /usr/sbin/wpa_supplicant -u -s -O DIR=/run/wpa_supplicant GROUP=netdev
root         888  0.0  0.0      0     0 ?        S    10:22   0:00 [card1-crtc0]
root         889  0.0  0.0      0     0 ?        S    10:22   0:00 [card1-crtc1]
root         890  0.0  0.0      0     0 ?        S    10:22   0:00 [card1-crtc2]
root         891  0.0  0.0      0     0 ?        S    10:22   0:00 [card1-crtc3]
syslog       931  0.0  0.0 222508  5376 ?        Ssl  10:22   0:00 /usr/sbin/rsyslogd -n -iNONE
root         937  0.0  0.0      0     0 ?        I    10:22   0:00 [kworker/u32:5-flush-259:0]
root         979  0.0  0.0      0     0 ?        I    10:22   0:00 [kworker/15:2-events]
root         982  0.0  0.0 392092 11720 ?        Ssl  10:22   0:00 /usr/sbin/ModemManager
root         990  0.0  0.0 313516  7476 ?        Ssl  10:22   0:00 /usr/libexec/boltd
root        1071  0.0  0.0      0     0 ?        S    10:22   0:00 [psimon]
root        1076  0.0  0.0  38208 10880 ?        Ss   10:22   0:00 /usr/sbin/cupsd -l
redis       1085  0.2  0.0  70468 13696 ?        Ssl  10:22   0:01 /usr/bin/redis-server 127.0.0.1:6379
root        1088  0.1  0.1 1321968 42040 ?       Ssl  10:22   0:00 /usr/sbin/tailscaled --state=/var/lib/tailscale/tailscaled.state --socket=/run/tailscale/tailscaled.sock --port=41641
root        1090  0.1  0.1 2320924 45824 ?       Ssl  10:22   0:00 /usr/bin/containerd
kasadis     1096  0.0  0.0  20504 11264 ?        Ss   10:22   0:00 /usr/lib/systemd/systemd --user
root        1100  0.0  0.0  12020  7680 ?        Ss   10:22   0:00 sshd: /usr/sbin/sshd -D [listener] 0 of 10-100 startups
root        1103  0.0  0.0 379936  6500 ?        Ssl  10:22   0:00 /usr/sbin/lightdm
kasadis     1113  0.0  0.0  23152  3724 ?        S    10:22   0:00 (sd-pam)
root        1137  0.2  0.5 1297000 145628 tty7   Ssl+ 10:22   0:01 /usr/lib/xorg/Xorg -core :0 -seat seat0 -auth /var/run/lightdm/root/:0 -nolisten tcp vt7 -novtswitch
postgres    1139  0.0  0.6 7608876 182532 ?      Ss   10:22   0:00 /usr/lib/postgresql/16/bin/postgres -D /var/lib/postgresql/16/main -c config_file=/etc/postgresql/16/main/postgresql.conf
root        1142  0.7  0.1 2572584 47232 ?       Ssl  10:22   0:04 /usr/sbin/veeamworker --pidfile /var/run/veeamservice.pid --daemon
root        1150  0.0  0.0   8704  1920 tty1     Ss+  10:22   0:00 /sbin/agetty -o -p -- \u --noclear - linux
kasadis     1234  0.0  0.0 109144  7680 ?        Ssl  10:22   0:00 /usr/bin/pipewire
kasadis     1235  0.0  0.0  97736  5376 ?        Ssl  10:22   0:00 /usr/bin/pipewire -c filter-chain.conf
kasadis     1236  0.0  0.0   9940  3584 ?        Ss   10:22   0:00 /bin/bash /home/kasadis/.local/bin/restic-smart-backup.sh
kasadis     1237  0.0  0.0 405044 14976 ?        Ssl  10:22   0:00 /usr/bin/wireplumber
kasadis     1238  0.0  0.0 109400  9344 ?        Ssl  10:22   0:00 /usr/bin/pipewire-pulse
kasadis     1256  0.0  0.0   9440  4992 ?        Ss   10:22   0:00 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
kasadis     1266  0.0  0.0   8288  1920 ?        S    10:22   0:00 sleep 3600
rtkit       1272  0.0  0.0  22940  3200 ?        SNsl 10:22   0:00 /usr/libexec/rtkit-daemon
postgres    1289  0.0  0.2 7609012 67140 ?       Ss   10:22   0:00 postgres: 16/main: checkpointer
postgres    1290  0.0  0.2 7609060 63172 ?       Ss   10:22   0:00 postgres: 16/main: background writer
postgres    1292  0.0  0.0 7608876 22212 ?       Ss   10:22   0:00 postgres: 16/main: walwriter
postgres    1293  0.0  0.0 7610592 8772 ?        Ss   10:22   0:00 postgres: 16/main: autovacuum launcher
postgres    1294  0.0  0.0 7610528 8004 ?        Ss   10:22   0:00 postgres: 16/main: logical replication launcher
root        1357  0.0  0.0 236040  8832 ?        Sl   10:22   0:00 lightdm --session-child 17 20
lightdm     1363  0.0  0.0  20492 11264 ?        Ss   10:22   0:00 /usr/lib/systemd/systemd --user
lightdm     1364  0.0  0.0  23152  3724 ?        S    10:22   0:00 (sd-pam)
lightdm     1379  0.0  0.0 113392 12032 ?        S<sl 10:22   0:00 /usr/bin/pipewire
lightdm     1380  0.0  0.0  97736  5888 ?        Ssl  10:22   0:00 /usr/bin/pipewire -c filter-chain.conf
lightdm     1381  0.0  0.0 407080 18176 ?        S<sl 10:22   0:00 /usr/bin/wireplumber
lightdm     1383  0.0  0.0 109396 10368 ?        S<sl 10:22   0:00 /usr/bin/pipewire-pulse
lightdm     1384  0.0  0.0 316484  9216 ?        Ssl  10:22   0:00 /usr/bin/gnome-keyring-daemon --foreground --components=pkcs11,secrets --control-directory=/run/user/113/keyring
lightdm     1385  0.0  0.0   9448  4864 ?        Ss   10:22   0:00 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
lightdm     1402  0.0  0.0   2800  1792 ?        Ss   10:22   0:00 /bin/sh /usr/lib/lightdm/lightdm-greeter-session /usr/sbin/slick-greeter
lightdm     1407  0.2  0.2 890208 79892 ?        Sl   10:22   0:01 /usr/sbin/slick-greeter
lightdm     1416  0.0  0.0 230108  5504 ?        Ssl  10:22   0:00 /usr/libexec/dconf-service
root        1429  0.0  0.0      0     0 ?        I<   10:22   0:00 [kworker/u33:3]
lightdm     1440  0.0  0.0 383084  7296 ?        Ssl  10:22   0:00 /usr/libexec/at-spi-bus-launcher
